utt_id,session,start_time,end_time,duration,quality_codes,flags,category,split
tr-008_01794,tr-008,1868.228,1879.96,11.732,Good,"TMC,SPL,BCO",mixed,train
tr-008_01674,tr-008,948.261,955.972,7.711,MTS,TMC,mixed,
tr-006_00900,tr-006,2789.47,2795.175,5.705,Good,,mixed,train
tr-008_01839,tr-008,2253.694,2262.781,9.087,MTS,BCO,jehe'a,
tr-008_01801,tr-008,1947.513,1957.741,10.228,MTS,,jehe'a,
tr-007_01182,tr-007,797.64,804.965,7.325,MTS,,mixed,
tr-009_02088,tr-009,863.032,877.148,14.116,MTS,"NSY,SPL",jehe'a,
tr-008_01862,tr-008,2442.18,2457.993,15.813,MTS,SPL,jehe'a,
tr-008_01650,tr-008,760.603,767.233,6.63,"MTS,CRT-A",,mixed,
tr-005_00213,tr-005,1759.501,1766.021,6.52,MTS,TMC,mixed,
tr-007_01459,tr-007,3025.777,3035.807,10.03,MTS,,jehe'a,
tr-006_01017,tr-006,3424.56,3434.645,10.085,Good,,mixed,test
tr-011_03111,tr-011,1991.389,1997.575,6.186,MTS,,mixed,
tr-006_00995,tr-006,3290.555,3296.518,5.963,Good,,mixed,test
tr-005_00433,tr-005,3519.258,3525.028,5.77,EXC,,,
tr-010_02505,tr-010,791.238,804.179,12.941,MTS,,mixed,
tr-011_02983,tr-011,1000.487,1006.977,6.49,MTS,,mixed,
tr-006_00649,tr-006,1174.39,1182.96,8.57,Good,,mixed,train
tr-010_02536,tr-010,990.368,997.931,7.563,Good,,jehe'a,test
tr-007_01224,tr-007,1181.6,1188.55,6.95,MTS,,mixed,
tr-005_00075,tr-005,569.545,579,9.455,MTS,,mixed,
tr-009_02052,tr-009,466.77,478.751,11.981,MTS,,jehe'a,
tr-010_02495,tr-010,740.028,749.428,9.4,MTS,,mixed,
tr-007_01384,tr-007,2516.573,2525.163,8.59,Good,,jehe'a,train
tr-007_01401,tr-007,2603.157,2611.282,8.125,CRT-D,BLK,mixed,test
tr-007_01433,tr-007,2855.652,2866.152,10.5,EXC,,,
tr-009_02065,tr-009,646.38,660.32,13.94,MTS,,jehe'a,
tr-011_02852,tr-011,51.205,55.605,4.4,EXC,,,
tr-005_00080,tr-005,608.905,615.585,6.68,EXC,,,
tr-009_02059,tr-009,594.61,604.54,9.93,MTS,,mixed,
tr-006_00727,tr-006,1780.86,1792.45,11.59,MTS,,mixed,
tr-011_02955,tr-011,804.291,816.034,11.743,Good,,spanish_only,test
tr-007_01372,tr-007,2424.417,2433.783,9.366,Good,,jehe'a,train
tr-009_02074,tr-009,721.462,735.135,13.673,MTS,,mixed,
tr-006_00526,tr-006,433.75,441.19,7.44,Good,,jehe'a,train
tr-009_02163,tr-009,1548.08,1554.84,6.76,Good,,mixed,test
tr-007_01504,tr-007,3413.634,3420.154,6.52,Good,,mixed,train
tr-005_00033,tr-005,269.425,275.43,6.005,EXC,BLK,,
tr-007_01388,tr-007,2535.957,2545.619,9.662,MTS,,jehe'a,
tr-011_02995,tr-011,1070.229,1075.583,5.354,Good,,mixed,test
tr-009_02078,tr-009,760.14,780.133,19.993,MTS,,mixed,
tr-009_02097,tr-009,966.091,975.273,9.182,MTS,,jehe'a,
tr-009_02003,tr-009,85.674,94.316,8.642,MTS,,jehe'a,
tr-007_01440,tr-007,2895.997,2903.447,7.45,Good,,jehe'a,test
tr-009_02026,tr-009,234.191,245.404,11.213,MTS,,jehe'a,
tr-009_02023,tr-009,210.24,216.917,6.677,Good,,jehe'a,test
tr-005_00432,tr-005,3512.493,3518.593,6.1,EXC,BLK,,
tr-011_03226,tr-011,2806.174,2820.672,14.498,Good,,mixed,train
tr-007_01220,tr-007,1155.835,1165.085,9.25,Good,,jehe'a,train
tr-010_02455,tr-010,408.578,418.213,9.635,MTS,,jehe'a,
tr-010_02807,tr-010,3017.911,3027.681,9.77,MTS,,mixed,
tr-007_01167,tr-007,626.625,636.525,9.9,Good,,mixed,train
tr-010_02470,tr-010,575.888,588.583,12.695,MTS,,jehe'a,
tr-007_01143,tr-007,455.855,463.315,7.46,Good,,mixed,train
tr-009_02087,tr-009,855.907,862.937,7.03,Good,,jehe'a,test
tr-011_02992,tr-011,1054.379,1061.17,6.791,MTS,,jehe'a,
tr-009_02385,tr-009,3600.631,3606.349,5.718,Good,,jehe'a,train
tr-005_00255,tr-005,2008.976,2018.916,9.94,CRT-D,BLK,mixed,train
tr-010_02587,tr-010,1339.338,1349.838,10.5,Good,,spanish_only,dev
tr-008_01969,tr-008,3264.627,3275.426,10.799,EXC,BLK,,
tr-007_01534,tr-007,3658.149,3667.339,9.19,CRT-D,BLK,jehe'a,train
tr-008_01966,tr-008,3241.562,3250.96,9.398,MTS,,jehe'a,
tr-008_01975,tr-008,3304.263,3314.383,10.12,EXC,BLK,,
tr-008_01916,tr-008,2883.481,2895.135,11.654,Good,,jehe'a,train
tr-008_01899,tr-008,2698.28,2710.862,12.582,MTS,,mixed,
tr-009_02247,tr-009,2336.04,2341.76,5.72,"MTS,CRT-A",,mixed,
tr-008_01573,tr-008,193.581,202.228,8.647,Good,,mixed,train
tr-008_01835,tr-008,2216.508,2224.73,8.222,MTS,,jehe'a,
tr-009_02060,tr-009,605.03,624.212,19.182,MTS,,jehe'a,
tr-007_01317,tr-007,2043.859,2055.983,12.124,Good,,mixed,train
tr-008_01814,tr-008,2032.913,2041.463,8.55,MTS,,jehe'a,
tr-009_02030,tr-009,260.667,264.497,3.83,Good,,jehe'a,train
tr-010_02465,tr-010,529.788,536.988,7.2,MTS,,mixed,
tr-009_02080,tr-009,783.572,794.971,11.399,Good,,jehe'a,test
tr-009_02261,tr-009,2439.399,2445.422,6.023,MTS,,mixed,
tr-006_00985,tr-006,3236.72,3242.45,5.73,Good,"TMC,SPL",jehe'a,train
tr-007_01412,tr-007,2723.222,2734.087,10.865,MTS,,mixed,
tr-008_01904,tr-008,2759.53,2771.185,11.655,MTS,,mixed,
tr-007_01305,tr-007,1874.283,1886.978,12.695,MTS,,jehe'a,
tr-007_01531,tr-007,3630.769,3640.489,9.72,Good,,jehe'a,train
tr-008_01913,tr-008,2862.633,2870.886,8.253,MTS,"SPL,TMC",mixed,
tr-008_01739,tr-008,1472.57,1480.29,7.72,MTS,,jehe'a,
tr-005_00250,tr-005,1969.886,1976.016,6.13,EXC,,,
tr-006_00734,tr-006,1826.7,1836.01,9.31,Good,,mixed,train
tr-006_00553,tr-006,597.77,614.84,17.07,Good,,mixed,train
tr-006_00722,tr-006,1727.58,1739.19,11.61,EXC,,,
tr-008_01628,tr-008,629.41,633.244,3.834,EXC,,,
tr-007_01533,tr-007,3644.439,3657.584,13.145,Good,,mixed,test
tr-008_01750,tr-008,1525.645,1533.834,8.189,Good,,mixed,train
tr-008_01730,tr-008,1401.86,1409.746,7.886,MTS,,mixed,
tr-007_01150,tr-007,499.895,506.76,6.865,Good,,mixed,train
tr-007_01368,tr-007,2403.928,2410.228,6.3,Good,,jehe'a,train
tr-011_03237,tr-011,2914.138,2919.789,5.651,Good,,mixed,test
tr-007_01445,tr-007,2947.087,2961.587,14.5,Good,,jehe'a,train
tr-007_01481,tr-007,3273.674,3279.194,5.52,MTS,,mixed,
tr-006_00816,tr-006,2328.212,2333.32,5.108,MTS,,jehe'a,
tr-011_02879,tr-011,281.697,294.604,12.907,MTS,,mixed,
tr-007_01390,tr-007,2547.692,2555.932,8.24,Good,,mixed,train
tr-005_00178,tr-005,1451.405,1461.845,10.44,MTS,,mixed,
tr-005_00270,tr-005,2111.786,2123.031,11.245,"MTS,CRT-D",BLK,mixed,
tr-005_00291,tr-005,2236.441,2246.666,10.225,Good,,jehe'a,train
tr-005_00078,tr-005,599.215,605.145,5.93,EXC,BLK,,
tr-005_00425,tr-005,3472.238,3478.553,6.315,MTS,,mixed,
tr-005_00176,tr-005,1435.35,1448.17,12.82,EXC,,,
tr-005_00434,tr-005,3525.268,3537.788,12.52,EXC,,,
tr-005_00325,tr-005,2558.766,2569.956,11.19,Good,,jehe'a,dev
tr-005_00138,tr-005,1148.675,1163,14.325,MTS,,jehe'a,
tr-005_00401,tr-005,3276.551,3290.476,13.925,EXC,"BCO,NCT",,
tr-005_00358,tr-005,2922.586,2936.441,13.855,MTS,,jehe'a,
tr-005_00418,tr-005,3387.806,3404.211,16.405,MTS,,jehe'a,
tr-005_00092,tr-005,725.74,734.02,8.28,EXC,"BCO,NCT",,
tr-005_00083,tr-005,623.82,636.36,12.54,MTS,,mixed,
tr-005_00405,tr-005,3312.661,3329.216,16.555,EXC,USR,,
tr-005_00247,tr-005,1952.036,1961.366,9.33,MTS,,jehe'a,
tr-005_00453,tr-005,3727.283,3739.768,12.485,EXC,BLK,,
tr-005_00396,tr-005,3205.246,3214.371,9.125,MTS,,jehe'a,
tr-005_00236,tr-005,1894.526,1901.771,7.245,MTS,TMC,guarani_only,
tr-005_00406,tr-005,3329.406,3335.656,6.25,Good,,jehe'a,test
tr-007_01328,tr-007,2116.118,2119.418,3.3,Good,,guarani_only,test
tr-010_02510,tr-010,828.618,831.483,2.865,Good,,guarani_only,test
tr-007_01213,tr-007,1053.585,1057.115,3.53,Good,,guarani_only,test
tr-008_01774,tr-008,1708.93,1711.955,3.025,Good,,guarani_only,test
tr-010_02424,tr-010,197.73,200.852,3.122,Good,,guarani_only,test
tr-010_02466,tr-010,537.268,540.223,2.955,Good,,guarani_only,test
tr-009_02044,tr-009,409.689,413.329,3.64,Good,NSY,guarani_only,test
tr-010_02534,tr-010,980.643,983.453,2.81,EXC,"NCT,BCO",,
tr-011_02918,tr-011,554.287,559.459,5.172,MTS,,spanish_only,
tr-006_00663,tr-006,1296.18,1301.37,5.19,Good,,spanish_only,dev
tr-006_00632,tr-006,1023.955,1028.845,4.89,Good,,spanish_only,train
tr-009_02159,tr-009,1494.077,1499.532,5.455,Good,,mixed,train
tr-007_01157,tr-007,550.72,556.36,5.64,Good,,spanish_only,train
tr-007_01128,tr-007,259.775,264.955,5.18,Good,,mixed,test
tr-010_02596,tr-010,1386.365,1391.627,5.262,MTS,,spanish_only,
tr-006_01083,tr-006,3831.036,3836.761,5.725,Good,,spanish_only,train
tr-006_00827,tr-006,2395.955,2401.41,5.455,Good,,spanish_only,train
tr-011_02998,tr-011,1086.989,1091.734,4.745,Good,,spanish_only,train
tr-006_00508,tr-006,354.86,360.66,5.8,Good,,spanish_only,train
tr-011_03039,tr-011,1342.765,1348.354,5.589,MTS,,spanish_only,
tr-006_00970,tr-006,3167.42,3172.08,4.66,MTS,,spanish_only,
tr-006_00573,tr-006,700.57,706.2,5.63,Good,,spanish_only,dev
tr-009_02125,tr-009,1222.71,1228.61,5.9,Good,,mixed,train
tr-007_01367,tr-007,2398.713,2403.013,4.3,Good,,spanish_only,dev
tr-008_01611,tr-008,516,521.815,5.815,EXC,BLK,,
tr-006_00931,tr-006,2953.17,2957.435,4.265,Good,,spanish_only,train
tr-005_00145,tr-005,1210.305,1214.325,4.02,EXC,BCO,,
tr-006_00642,tr-006,1104.31,1108.36,4.05,Good,,spanish_only,train
tr-007_01456,tr-007,3007.887,3013.007,5.12,Good,,spanish_only,train
tr-010_02617,tr-010,1523.76,1530.2,6.44,Good,,spanish_only,train
tr-011_03164,tr-011,2348.482,2352.291,3.809,Good,,spanish_only,train
tr-007_01507,tr-007,3426.924,3432.254,5.33,Good,,spanish_only,train
tr-011_02948,tr-011,770.685,774.542,3.857,Good,,spanish_only,test
tr-006_00821,tr-006,2356.445,2361.09,4.645,Good,,mixed,train
tr-006_00514,tr-006,386.52,392.2,5.68,Good,,spanish_only,train
tr-006_00731,tr-006,1805.19,1811.68,6.49,Good,,spanish_only,dev
tr-006_00706,tr-006,1629.46,1633.09,3.63,Good,,spanish_only,train
tr-011_02987,tr-011,1016.199,1020.489,4.29,Good,,spanish_only,train
tr-008_01556,tr-008,65.74,70.7,4.96,EXC,BLK,,
tr-006_00488,tr-006,226.04,230.9,4.86,Good,,spanish_only,dev
tr-011_02952,tr-011,785.526,790.284,4.758,Good,,spanish_only,train
tr-007_01286,tr-007,1723.183,1728.858,5.675,MTS,,spanish_only,
tr-007_01146,tr-007,471.86,477.55,5.69,Good,,spanish_only,train
tr-005_00059,tr-005,450.735,457.61,6.875,EXC,TMC,,
tr-009_02299,tr-009,2700.574,2706.48,5.906,Good,,spanish_only,train
tr-007_01516,tr-007,3500.589,3507.549,6.96,MTS,,spanish_only,
tr-010_02715,tr-010,2295.235,2302.24,7.005,Good,,spanish_only,train
tr-011_03227,tr-011,2820.907,2824.522,3.615,Good,,spanish_only,train
tr-010_02576,tr-010,1249.353,1255.823,6.47,Good,,spanish_only,train
tr-010_02666,tr-010,1926.91,1933.45,6.54,MTS,,spanish_only,
tr-006_00531,tr-006,496.12,502.77,6.65,Good,,spanish_only,train
tr-010_02696,tr-010,2128.115,2135.024,6.909,Good,,spanish_only,train
tr-007_01259,tr-007,1487.473,1494.493,7.02,Good,,spanish_only,train
tr-006_00504,tr-006,312.46,317.42,4.96,Good,,spanish_only,train
tr-007_01115,tr-007,212.66,217.46,4.8,EXC,BLK,,
tr-010_02781,tr-010,2801.255,2805.965,4.71,Good,,spanish_only,test
tr-011_02935,tr-011,684.559,689.149,4.59,Good,,spanish_only,train
tr-010_02801,tr-010,2988.215,2995.15,6.935,Good,,spanish_only,train
tr-005_00252,tr-005,1989.436,1996.376,6.94,Good,,spanish_only,train
tr-009_02291,tr-009,2663.872,2669.74,5.868,Good,,spanish_only,dev
tr-008_01783,tr-008,1768.451,1772.773,4.322,MTS,,spanish_only,
tr-011_03015,tr-011,1218.95,1223.179,4.229,Good,,spanish_only,train
tr-006_00930,tr-006,2949.21,2952.2,2.99,Good,,spanish_only,train
tr-005_00161,tr-005,1287.875,1291.995,4.12,Good,,spanish_only,test
tr-006_00466,tr-006,55.555,59.645,4.09,Good,,spanish_only,train
tr-006_00537,tr-006,528.61,535.79,7.18,Good,,spanish_only,train
tr-005_00382,tr-005,3095.011,3100.311,5.3,Good,,spanish_only,train
tr-011_03058,tr-011,1508.556,1513.974,5.418,Good,TMC,spanish_only,train
tr-008_01554,tr-008,44.612,50.975,6.363,Good,,spanish_only,train
tr-011_03104,tr-011,1953.629,1958.098,4.469,Good,,spanish_only,dev
tr-005_00186,tr-005,1543.71,1549.76,6.05,MTS,,spanish_only,
tr-011_03052,tr-011,1434.17,1438.039,3.869,MTS,,spanish_only,
tr-010_02626,tr-010,1601.675,1608.66,6.985,EXC,,,
tr-005_00120,tr-005,1021.645,1028.245,6.6,Good,,spanish_only,train
tr-011_03235,tr-011,2895.784,2899.392,3.608,Good,,mixed,train
tr-011_03123,tr-011,2098.411,2101.936,3.525,Good,,spanish_only,train
tr-008_01592,tr-008,383.198,390.133,6.935,Good,,spanish_only,dev
tr-010_02697,tr-010,2135.895,2143.265,7.37,MTS,NSY,mixed,
tr-007_01138,tr-007,353.24,358.36,5.12,Good,,spanish_only,dev
tr-010_02712,tr-010,2277.575,2282.669,5.094,Good,,mixed,train
tr-006_00667,tr-006,1318.37,1323.42,5.05,Good,,spanish_only,train
tr-007_01477,tr-007,3253.694,3259.014,5.32,Good,,spanish_only,train
tr-007_01119,tr-007,225.08,229.85,4.77,Good,,mixed,train
tr-006_00714,tr-006,1678.52,1684.11,5.59,Good,,spanish_only,train
tr-005_00131,tr-005,1104.425,1109.075,4.65,Good,,spanish_only,test
tr-009_02326,tr-009,2909.834,2914.38,4.546,Good,,mixed,train
tr-011_03185,tr-011,2547.303,2553.027,5.724,MTS,,spanish_only,
tr-006_00485,tr-006,201.01,203.65,2.64,Good,,spanish_only,train
tr-006_00813,tr-006,2311.425,2317.36,5.935,Good,,spanish_only,train
tr-011_03107,tr-011,1972.954,1977.239,4.285,Good,,mixed,train
tr-007_01356,tr-007,2290.323,2294.413,4.09,Good,,spanish_only,dev
tr-006_00883,tr-006,2694.28,2698.2,3.92,Good,,spanish_only,train
tr-006_00691,tr-006,1511.012,1514.782,3.77,Good,,spanish_only,train
tr-006_01067,tr-006,3726.441,3730.181,3.74,Good,,mixed,train
tr-005_00144,tr-005,1201,1209.71,8.71,Good,,spanish_only,train
tr-007_01469,tr-007,3151.659,3156.588,4.929,EXC,USR,,
tr-006_00805,tr-006,2245.895,2250.795,4.9,Good,,spanish_only,train
tr-006_00839,tr-006,2461.55,2465.23,3.68,Good,,spanish_only,train
tr-008_01677,tr-008,964.653,970.219,5.566,Good,,mixed,test
tr-011_02891,tr-011,340.356,345.957,5.601,Good,,spanish_only,train
tr-006_00851,tr-006,2525.295,2530.935,5.64,Good,TMC,spanish_only,train
tr-009_02186,tr-009,1793.99,1800.63,6.64,MTS,,spanish_only,
tr-011_03253,tr-011,2998.791,3002.34,3.549,Good,,spanish_only,train
tr-010_02775,tr-010,2756.44,2762.461,6.021,Good,,spanish_only,train
tr-006_00747,tr-006,1932.72,1936.16,3.44,Good,,spanish_only,train
tr-011_03045,tr-011,1382.564,1388.794,6.23,Good,,spanish_only,train
tr-008_01763,tr-008,1636.593,1639.791,3.198,EXC,,,
tr-007_01519,tr-007,3514.364,3521.129,6.765,Good,,spanish_only,train
tr-006_00817,tr-006,2333.89,2339.09,5.2,Good,,spanish_only,train
tr-007_01461,tr-007,3040.732,3046.012,5.28,Good,,spanish_only,train
tr-007_01515,tr-007,3494.544,3499.439,4.895,Good,,spanish_only,train
tr-009_02387,tr-009,3615.677,3621.242,5.565,Good,,spanish_only,train
tr-007_01274,tr-007,1570.583,1575.153,4.57,Good,,spanish_only,dev
tr-010_02556,tr-010,1150.183,1156.068,5.885,EXC,,,
tr-007_01289,tr-007,1752.383,1756.673,4.29,Good,,spanish_only,train
tr-011_03080,tr-011,1709.214,1713.464,4.25,Good,,mixed,train
tr-008_01588,tr-008,330.502,338.235,7.733,Good,,spanish_only,train
tr-005_00087,tr-005,649.07,656.86,7.79,EXC,,,
tr-006_00694,tr-006,1576.97,1580.8,3.83,Good,,spanish_only,train
tr-007_01147,tr-007,477.745,481.455,3.71,Good,,spanish_only,test
tr-006_00912,tr-006,2840.775,2844.365,3.59,Good,,spanish_only,train
tr-011_02854,tr-011,66.352,71.557,5.205,Good,,spanish_only,train
tr-006_00650,tr-006,1183.15,1188.097,4.947,Good,,spanish_only,test
tr-006_00798,tr-006,2199.05,2204.5,5.45,Good,,spanish_only,train
tr-009_02302,tr-009,2747.792,2751.258,3.466,Good,,spanish_only,train
tr-008_01703,tr-008,1188.61,1191.988,3.378,EXC,BLK,,
tr-010_02727,tr-010,2401.653,2407.657,6.004,Good,,spanish_only,train
tr-011_02964,tr-011,871.239,877.519,6.28,Good,,spanish_only,test
tr-010_02555,tr-010,1143.033,1149.353,6.32,Good,,spanish_only,test
tr-006_00529,tr-006,482.53,489.67,7.14,EXC,,,
tr-005_00185,tr-005,1537.04,1543.595,6.555,MTS,,spanish_only,
tr-009_02300,tr-009,2707.233,2710.16,2.927,EXC,,,
tr-008_01587,tr-008,323.118,330.502,7.384,EXC,,,
tr-010_02572,tr-010,1227.218,1234.748,7.53,Good,,spanish_only,train
tr-010_02658,tr-010,1852.38,1857.43,5.05,Good,,spanish_only,train
tr-007_01486,tr-007,3307.369,3312.809,5.44,EXC,BLK,,
tr-008_01702,tr-008,1183.786,1188.25,4.464,Good,,mixed,test
tr-010_02551,tr-010,1121.248,1127.18,5.932,EXC,,,
tr-010_02791,tr-010,2878.31,2882.53,4.22,EXC,,,
tr-008_01557,tr-008,70.7,74.891,4.191,MTS,,spanish_only,
tr-011_02965,tr-011,877.699,881.864,4.165,Good,,mixed,train
tr-011_03115,tr-011,2028.761,2032.874,4.113,MTS,,spanish_only,
tr-010_02599,tr-010,1396.724,1400.648,3.924,Good,,spanish_only,train
tr-008_01602,tr-008,474.735,481.1,6.365,EXC,,,
tr-006_00613,tr-006,912.99,916.78,3.79,Good,,spanish_only,train
tr-006_00587,tr-006,780.11,783.86,3.75,Good,,spanish_only,dev
tr-006_01031,tr-006,3519.9,3523.53,3.63,Good,,spanish_only,train
tr-006_00668,tr-006,1323.81,1327.31,3.5,Good,,spanish_only,test
tr-011_02997,tr-011,1083.454,1086.879,3.425,MTS,,spanish_only,
tr-006_00758,tr-006,1982.89,1986.3,3.41,Good,,spanish_only,train
tr-006_00741,tr-006,1862.85,1866.24,3.39,Good,,spanish_only,train
tr-010_02685,tr-010,2066.855,2071.995,5.14,Good,,spanish_only,train
tr-011_03181,tr-011,2486.031,2490.851,4.82,EXC,,,
tr-009_02193,tr-009,1897.401,1900.714,3.313,Good,,spanish_only,train
tr-006_01033,tr-006,3525.905,3529.21,3.305,Good,,spanish_only,dev
tr-011_02875,tr-011,255.698,258.936,3.238,Good,,spanish_only,train
tr-011_02909,tr-011,484.221,490.256,6.035,Good,,spanish_only,train
tr-011_03091,tr-011,1771.621,1774.723,3.102,Good,,spanish_only,train
tr-011_03137,tr-011,2212.839,2216.724,3.885,EXC,,,
tr-011_03153,tr-011,2291.896,2294.849,2.953,Good,,spanish_only,test
tr-009_02170,tr-009,1647.03,1653.61,6.58,MTS,,spanish_only,
tr-009_02269,tr-009,2480.176,2482.998,2.822,EXC,,,
tr-006_00708,tr-006,1636.28,1639.06,2.78,Good,,spanish_only,train
tr-011_03130,tr-011,2175.374,2178.028,2.654,Good,,spanish_only,train
tr-008_01608,tr-008,497.757,505.061,7.304,MTS,,spanish_only,
tr-011_03206,tr-011,2673.053,2681.055,8.002,MTS,,spanish_only,
tr-010_02758,tr-010,2600.115,2605.315,5.2,Good,,spanish_only,train
tr-010_02786,tr-010,2849.574,2854.945,5.371,Good,,spanish_only,train
tr-009_02102,tr-009,992.33,997.063,4.733,Good,,spanish_only,train
tr-010_02684,tr-010,2058.407,2066.635,8.228,Good,,mixed,train
tr-009_02339,tr-009,3100.335,3107.759,7.424,Good,,mixed,test
tr-010_02459,tr-010,484.478,491.528,7.05,Good,,jehe'a,train
tr-006_00717,tr-006,1692.58,1699.17,6.59,Good,TMC,mixed,train
tr-007_01188,tr-007,874.95,880.65,5.7,Good,,jehe'a,train
tr-007_01457,tr-007,3013.282,3018.852,5.57,Good,,mixed,train
tr-008_01939,tr-008,3032.429,3037.774,5.345,Good,,mixed,train
tr-008_01780,tr-008,1741.335,1762.897,21.562,Good,,jehe'a,train
tr-007_01137,tr-007,343.715,353.205,9.49,MTS,,jehe'a,
tr-006_00926,tr-006,2916.74,2927.37,10.63,Good,,mixed,train
tr-011_02957,tr-011,819.284,826.634,7.35,Good,,spanish_only,train
tr-007_01428,tr-007,2827.117,2834.302,7.185,Good,,mixed,dev
tr-008_01553,tr-008,36.573,43.484,6.911,EXC,BLK,,
tr-008_01873,tr-008,2549.883,2561.697,11.814,MTS,,jehe'a,
tr-008_01931,tr-008,2990.748,2996.969,6.221,Good,,mixed,test
tr-009_02176,tr-009,1695.791,1722.015,26.224,EXC,"TMC,NSY",,
tr-009_02036,tr-009,340.805,352.931,12.126,"MTS,CRT-A",NSY,jehe'a,
tr-007_01155,tr-007,537.025,545.725,8.7,Good,,mixed,train
tr-009_02014,tr-009,143.044,151.589,8.545,MTS,,jehe'a,
tr-008_01991,tr-008,3398.105,3405.988,7.883,EXC,,,
tr-007_01241,tr-007,1277.95,1285.07,7.12,Good,,mixed,dev
tr-010_02768,tr-010,2661.685,2676.109,14.424,Good,,spanish_only,train
tr-006_00738,tr-006,1849.34,1855.29,5.95,EXC,,,
tr-007_01192,tr-007,903.425,909.295,5.87,MTS,,mixed,
tr-010_02416,tr-010,143.639,163.015,19.376,MTS,,jehe'a,
tr-006_00628,tr-006,1000.235,1008.775,8.54,Good,,spanish_only,train
tr-006_00621,tr-006,959.375,963.895,4.52,Good,,spanish_only,train
tr-007_01455,tr-007,2994.907,3007.257,12.35,EXC,NCT,,
tr-009_02046,tr-009,418.474,435.11,16.636,EXC,NCT,,
tr-006_00461,tr-006,3.92,12.965,9.045,EXC,NCT,,
tr-007_01113,tr-007,201.02,209.325,8.305,Good,,mixed,dev
tr-010_02490,tr-010,680.438,688.375,7.937,MTS,,jehe'a,
tr-010_02450,tr-010,376.448,383.223,6.775,Good,,mixed,train
tr-010_02403,tr-010,48.482,55.06,6.578,CRT-D,"BLK,TMC,BCO",jehe'a,train
