guarani_spelling,standard_spanish,source,batch_occurrences,example_utterance_index
merkadería,mercadería,reallm,2,[31]
millon,millón,reallm_pass2,1,[446]
mádre,madre,manual_fix,1,1454
mísma,misma,reallm,1,1417
músika,música,reallm,1,[996]
nerviósa,nerviosa,manual_fix,1,1397
ningun,ningún,reallm_pass2,2,1048
noentendéi,no entendí,reallm,1,[1040]
nomas,nomás,reallm,1,[175]
nontendéi,no entendí,manual_fix,1,1040
nontentéi,no entendí,reallm,1,[1040]
notísia,noticia,reallm_pass2,1,2471
ochent,ochenta,reallm,1,[2034]
ohunta,ochenta,reallm,1,2521
olvi,olví,reallm_pass2,1,1972
orário,horario,reallm_pass2,1,3274
paraguáya,paraguaya,reallm,1,3230
partído,partido,manual_fix,2,1831
pedáso,pedazo,reallm,1,[456]
pelóta,pelota,reallm,1,[461]
plása,plaza,reallm,1,2911
plástiko,plástico,reallm,1,[360]
pláta,plata,reallm,2,[377]
polítika,política,reallm_pass2,1,[3146]
porke,porque / por qué,known+reallm,8,seed
porsiénto,por ciento,reallm,1,[2267]
presentasion,presentación,reallm_pass2,1,[1423]
presidénte,presidente,reallm_pass2,1,[2923]
probléma,problema,reallm_pass2,1,[1772]
projékto,proyecto,reallm,2,[106]
péro,pero,reallm_pass2,2,115
pórke,porque / por qué,known+reallm,32,seed
pórte,porte,reallm_pass2,1,3223
rekuerdo,recuerdo,reallm,1,[2813]
resicládo,reciclado,reallm,1,[31]
reunion,reunión,reallm,1,[2689]
rádio,radio,reallm_pass2,1,1450
seksional,seccional,reallm_pass2,1,2836
seksto,sexto,reallm_pass2,1,[104]
sesénta,sesenta,reallm_pass2,1,736
sien,cien,reallm_pass2,1,[1017]
sinko,cinco,reallm,1,[2267]
sinkuénta,cincuenta,reallm_pass2,1,[104]
siémpre,siempre,reallm_pass2,1,[1847]
siérto,cierto,reallm_pass2,1,[376]
sí-ke,sí que,reallm_pass2,1,[2791]
sínco,cinco,reallm,1,[343]
sínko,cinco,reallm,1,2900
tallarin,tallarín,reallm,1,[34]
tiémpo,tiempo,reallm_pass2,2,[53]
trankílo,tranquilo,reallm,1,[2548]
traváho,trabajo,reallm,2,1410
treintaitres,treinta y tres,reallm,1,[1049]
téle,tele,manual_fix,1,1384
téma,tema,reallm_pass2,1,1443
tódo,todo,reallm_pass2,1,2134
vacasión,vacación,reallm_pass2,1,[3124]
veintikuátro,veinticuatro,reallm,1,2904
veíkulo,vehículo,reallm,1,[354]
viáhe,viaje,reallm,1,3233
vése,veces,manual_fix,1,1428
áno,año,reallm_pass2,1,[39]
époka,época,reallm_pass2,2,[1362]
ótra,otra,reallm,1,[3181]
ótro,otro,reallm_pass2,2,[1838]
úno,uno,reallm,1,[441]
